,Course Title,Instructors,tags
73,Introduction to Solid State Chemistry,['MichaelCima'],scienc technolog engin and mathemat michaelcima mitx
74,"Invasions, Rebellions, and the end of Imperial China","['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
75,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
76,Poetry in America: The Poetry of Early New England,['ElisaNew'],human histori design religion and educ elisanew harvardx
77,The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography,['GregoryNagy'],human histori design religion and educ gregorynagi harvardx
78,Unlocking the Immunity to Change: A New Approach to Personal Improvement,"['RobertKegan(Bob)', 'LisaLahey']",human histori design religion and educ robertkegan(bob) lisalahey harvardx
79,Improving Global Health: Focusing on Quality and Safety,['AshishK.Jha'],govern health and social scienc ashishk.jha harvardx
80,Effective Field Theory,['IainStewart'],scienc technolog engin and mathemat iainstewart mitx
81,A Global History of Architecture,['MarkJarzombek'],human histori design religion and educ markjarzombek mitx
82,AnatomyX: Musculoskeletal Cases,['TrudyVanHouten'],scienc technolog engin and mathemat trudyvanhouten harvardx
83,Supply Chain and Logistics Fundamentals,['ChrisCaplice'],govern health and social scienc chriscaplic mitx
84,"Introduction to Philosophy: God, Knowledge and Consciousness",['CasparHare'],human histori design religion and educ casparhar mitx
85,Evaluating Social Programs,['RachelGlennerster'],govern health and social scienc rachelglennerst mitx
86,Underactuated Robotics,['RussTedrake'],scienc technolog engin and mathemat russtedrak mitx
87,The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes,['GregoryNagy'],human histori design religion and educ gregorynagi harvardx
88,Design and Development of Educational Technology,['EricKlopfer'],human histori design religion and educ ericklopf mitx
89,Creating China: The Birth of a Nation,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
90,Introduction to Computational Thinking and Data Science,['EricGrimson'],comput scienc ericgrimson mitx
91,The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy,['GregoryNagy'],human histori design religion and educ gregorynagi harvardx
92,"Poetry in America: Nature and Nation, American Poetry, 1700-1850",['ElisaNew'],human histori design religion and educ elisanew harvardx
93,Introduction to Game Design,['EricKlopfer'],human histori design religion and educ ericklopf mitx
94,"Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
95,Entrepreneurship and Healthcare in Emerging Economies,['TarunKhanna'],govern health and social scienc tarunkhanna harvardx
96,The Ancient Greek Hero: Plato and Beyond,['GregoryNagy'],human histori design religion and educ gregorynagi harvardx
97,"Light, Spike, and Sight: The Neuroscience of Vision",['SebastianSeung'],scienc technolog engin and mathemat sebastianseung mitx
98,Communist Liberations,"['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
99,Introduction to Computer Science,['DavidMalan'],comput scienc davidmalan harvardx
100,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","['PeterBol', 'BillKirby']",human histori design religion and educ peterbol billkirbi harvardx
101,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",['PaulPeterson'],human histori design religion and educ paulpeterson harvardx
